index,brand,sum_correct_recall,n_attempts,sum_incorrect_recall,recall_percentage,hit_count,false_alarm_count,correct_rejection_count,miss_count,total_old,total_new,hit_rate,false_alarm_rate,correct_rejection_rate,miss_rate,accuracy_correct,accuracy_incorrect,overall_accuracy,hits_fas,d_prime,Ease of Spelling (NLP),Frequency (NLP),Type Token Ratio (NLP),Automated Readability Index (NLP),Flesch Reading Ease (NLP),Flesch Kincaid Grade Level (NLP),Coleman Liau Index (NLP),Age of Acquisition (NLP),Orthographic Neighborhood Size (NLP),Orthographic Levenshtein Distance (NLP),Phonological Levenshtein Distance (NLP),Phonological Neighborhood Size (NLP),Length,Pronoun We (HR),Pronoun You (HR),Alliteration (HR),Prevalence (NLP),Arousal (HR),Arousal (NLP),Valence (HR),Valence (NLP),Dominance (NLP),Dominance (HR),Liking (HR),Concreteness (HR),Concreteness (NLP),Imageability (HR),Imageability (NLP),Slogan Brand Functional Fit (HR),Slogan Brand Personality Fit (HR),Slogan Brand Fit 1 (LLM),Slogan Brand Fit 2 (LLM),Creativity (HR),Humor (HR),Humor (NLP),Surprise (NLP),Closest Slogan Similarity (LLM),Wordplay (HR),Metaphor (HR),Distinctiveness Within Category (HR),Distinctiveness in General (HR),Distinctiveness (LLM),Slogan Semantic Density (LLM),Hyperbole (HR),Closest Brand Similarity (LLM)
Life is our life's work,Pfizer,2,193,191,0.010362694,136,33,162,57,193,195,0.7046632124352331,0.1692307692307692,0.8307692307692308,0.2953367875647668,298,90,0.7680412371134021,0.5354324432044639,1.485349107092976,7.2,6.225518655385614,-0.833333333,1.032,100.24000000000002,-0.52,0.8399999999999981,-5.366666667,17.8,-1.27,-1.34,25.2,5,1,0,0,2.2699368941375178,3.5,5.1105,2.75,5.8134999999999994,5.557,4.866666666666666,3.75,3.875,2.4325,2.9375,3.802,5.411764705882353,5.1875,1.005397227,0.748661046,4.25,1.8235294117647056,2.164222874,8.233951494,0.085998498,0,0,4.352941176470588,3.9565217391304346,0.114099056,0.49381729,0,0.115819337
Life is ridiculously awesome,Kmart,7,186,179,0.037634409,112,14,179,74,186,193,0.6021505376344086,0.07253886,0.92746114,0.3978494623655914,291,88,0.7678100263852242,0.5296116775307816,1.6988563530910266,5.75,5.078778268183318,-1,-10.0075,12.425000000000011,-12.52,-13.05,-6.61,11.75,-1.9125,-2.95,16.75,4,0,0,0,2.3011119529021467,4.5,6.7115,3.227272727272727,7.7965,6.4455,5.909090909090909,3.3181818181818183,2.619047619047619,1.9275,2.9545454545454546,2.89,3.32,3.5,0.972185551,0.722917195,2.8181818181818183,2.5,2.419354839,8.777359626,0.10582557,0,0,5,4.2,0.118814354,0.538149099,1,0.116451642
Life is short. Play more.,Xbox,16,199,183,0.08040201,161,45,130,38,199,175,0.8090452261306532,0.2571428571428571,0.7428571428571429,0.1909547738693467,291,83,0.7780748663101604,0.5519023689877961,1.5166270036998162,7,5.889807063451232,-1,-0.852,117.16000000000004,1.84,-0.32,-4.5225,23.6,-0.98,-1.21,35,5,0,0,0,2.402109885077775,4.947368421052632,5.768666666666667,3.210526315789474,6.389666666666667,5.489666666666667,6,4.526315789473684,3.210526315789474,2.7,3.631578947368421,4.173666666666667,5.590909090909091,6.0588235294117645,1.035550192,0.756248639,4.157894736842105,2.421052631578948,2.3916768383333333,6.900980734,0.109160991,0,0,3.588235294117647,3.4,0.132346589,0.544438625,0,0.100981739
Life is short. Stay awake for it.,Caribou Coffee,10,209,199,0.04784689,166,23,149,43,209,172,0.7942583732057417,0.1337209302325581,0.8662790697674418,0.2057416267942583,315,66,0.8267716535433071,0.6605374429731835,1.915585365256534,7,6.005557657731904,-1,1.5128571428571431,106.59678571428572,0.7392857142857139,3.542857142857141,-4.648333333,22.571428571428573,-1.05,-1.378571429,26.142857142857142,7,0,0,0,2.316403807211306,5,4.649333333333334,2.421052631578948,5.764333333333333,4.844333333333334,5.526315789473684,5.1,3.6,2.542857142857143,4.473684210526316,3.5926666666666667,4,6.083333333333333,1.01479737,0.742315351,4.9,3.65,2.138673835333333,6.591505965,0.109160991,0,0,4.863636363636363,4.384615384615385,0.130524035,0.557574477,0,0.125178266
Life needs sports,ESPN2,16,175,159,0.091428571,134,13,177,41,175,190,0.7657142857142857,0.068421053,0.9315789473684212,0.2342857142857143,311,54,0.852054795,0.6972932330827067,2.1906336437116547,7,5.1822375966594025,-1,-3.62,119.19000000000004,2.619999999999999,-3.333333333,-5.89,11,-1.35,-1.483333333,19.33333333333333,3,0,0,0,2.487414458844945,3.55,6.0795,2.409090909090909,6.8134999999999994,5.9455,4.454545454545454,2.772727272727273,5.090909090909091,2.91,4.190476190476191,4.1775,5.235294117647059,5.157894736842105,1.067450606,0.799987035,2.9545454545454546,2.2857142857142856,2.419354839,8.076236673,0.142744125,0,1,4.117647058823529,3.9583333333333335,0.121521298,0.556926485,1,0.094088621
Life's a journey,Samsonite,0,193,193,0,122,52,146,71,193,198,0.6321243523316062,0.2626262626262626,0.7373737373737373,0.3678756476683937,268,123,0.6854219948849105,0.3694980897053436,0.9672938379846454,6.5,5.804470939727692,-1,-2.05,90.99000000000004,-1.313333333,0.5333333333333332,-5.28,1.5,-2.125,-1.666666667,21.666666666666668,3,0,0,0,2.246542405159439,4.764705882352941,,2.8947368421052637,,,6,4.157894736842105,2.8421052631578947,2.015,3.789473684210526,,5.2,5,1.018641907,0.767335759,3.0526315789473686,1.947368421052632,,6.732547592,0.106002146,0,1,3.090909090909091,2.333333333333333,0.107313415,0.512504801,0,0.151248624
"Life's a road trip. Come on, let's go.",Cooper Tires,0,196,196,0,145,29,152,51,196,181,0.7397959183673469,0.1602209944751381,0.8397790055248618,0.2602040816326531,297,80,0.7877984084880637,0.5795749238922088,1.6248826709308846,7.142857142857143,5.9207125032497085,-0.9,1.1787500000000009,118.175,2.229999999999998,4.349999999999998,-3.726666667,20,-1.285714286,-1.18125,38.375,8,1,0,0,2.2521918879407656,4.315789473684211,4,2.263157894736842,5.267,5.313,5.631578947368421,4.2105263157894735,3.1578947368421053,3.173333333333334,4.157894736842105,6.5,5.631578947368421,5.533333333333333,1.004040788,0.743777798,3.736842105263158,2.210526315789474,2.4166069293333337,6.996319566,0.106729078,0,1,3.933333333333333,3.1875,0.127729262,0.548297865,0,0.131500067
Life's better when we're connected,Bank of America,9,197,188,0.045685279,173,80,107,24,197,187,0.8781725888324873,0.427807487,0.5721925133689839,0.1218274111675127,280,104,0.7291666666666666,0.4503651022014712,1.3374851520197155,6.8,5.666143564789258,-1,-9.33,66.40000000000003,-5.24,-10.76,-4.63,7.8,-1.63,-1.45,29.4,5,1,0,0,2.298542725776634,4.75,,3.4375,,,4.1875,4.625,3.375,1.9175,4.5625,,4.466666666666667,4.608695652173913,0.995158162,0.744515031,3.25,1.375,,7.839542239,0.098000248,0,1,3.272727272727273,2.736842105263158,0.108264869,0.503447567,0,0.089432661
Life. Love. Home.,American Standard,0,179,179,0,145,38,161,34,179,199,0.8100558659217877,0.1909547738693467,0.8090452261306532,0.1899441340782122,306,72,0.8095238095238095,0.6191010920524409,1.7404915194211872,7,5.945234473527968,-1,-3.62,119.19000000000004,2.619999999999999,2.4666666666666632,-4.976666667,22,-0.95,-1,32.333333333333336,3,0,0,0,2.4398485603142044,3.034482758620689,6.670333333333335,7.0625,7.761,5.971,4.774193548387097,3.1333333333333333,3.5161290322580645,2.956666666666667,4.225806451612903,4.338666666666667,6.75,6.0625,0.989130105,0.742279576,2.096774193548387,1.4838709677419355,2.2481182796666666,6.166828171,0.126434645,0,0,2.5,2.59375,0.122038604,0.533962805,0,0.172796773
Life. To the fullest.,Abbott,3,178,175,0.016853933,127,59,138,51,178,197,0.7134831460674157,0.299492386,0.700507614,0.2865168539325842,265,110,0.7066666666666667,0.4139907602806136,1.0830371043661997,6.75,5.930892371327412,-1,-1.765,97.025,-0.72,-3.55E-15,-4.606666667,21.75,-1.1875,-1.6875,36.75,4,0,0,0,2.279957156535701,5.368421052631579,6.735,4.095238095238095,7.303,6.235,4.7,4.523809523809524,2.238095238095238,1.89,3.7142857142857135,3.061,4.5,4.333333333333333,1.011975051,0.754470278,3.1904761904761907,1.809523809523809,2.419354839,7.631076603,0.120546378,0,0,2.6,2.75,0.117368757,0.524546641,0,0.158300923
Light things up,McIllhenny Tobasco Sauce,0,200,200,0,140,29,149,60,200,178,0.7,0.1629213483146067,0.8370786516853933,0.3,289,89,0.7645502645502645,0.5370786516853931,1.496442729157431,7.333333333333333,5.873868136098378,-1,-0.48,119.19000000000004,2.619999999999999,0.5333333333333332,-3.485,13.666666666666666,-1.25,-1.316666667,32.666666666666664,3,0,0,0,2.2848968906916776,5.0344827586206895,5.4425,6.875,6.7265,5.938,5.903225806451613,4.133333333333334,3.6774193548387095,4.02,4.774193548387097,5.55,6.59375,6.28125,0.991601481,0.7580629,3.032258064516129,2.032258064516129,,4.217135207,0.041054915,0,1,4.34375,3.40625,0.107230747,0.528607507,0,0.111645767
Light up,Coleman,1,181,180,0.005524862,137,34,166,44,181,200,0.7569060773480663,0.17,0.83,0.2430939226519337,303,78,0.7952755905511811,0.5869060773480662,1.6395799985469173,7.5,5.89076415,-1,3.945,120.205,3.01,10.3,-3.485,19,-1,-1.075,43,2,0,0,0,2.2848968906916776,4.75,5.4425,1.8,6.7265,5.938,4.315789473684211,4.105263157894737,2.95,4.02,3.8,5.55,4.636363636363637,4.9,1.014865091,0.781635962,3.15,1.95,,4.544228769,0.041054915,0,1,4,3.3461538461538463,0.1101754,0.532459149,0,0.136078422
Like a pro,GMC,6,201,195,0.029850746,139,19,154,62,201,173,0.6915422885572139,0.1098265895953757,0.8901734104046243,0.308457711,293,81,0.7834224598930482,0.5817156989618382,1.7131333581955512,7,6.020561997230999,-1,7.370000000000001,119.19000000000004,2.619999999999999,10.2,-4.99,21.5,-0.95,-1.416666667,40,3,0,0,0,2.2045004056057014,4.9523809523809526,5.5,2.9,7.371,5.906,5.142857142857143,4.45,4.333333333333333,2.0033333333333334,4.523809523809524,3.118,3.954545454545455,4.6,0.999435539,0.758034196,3.523809523809524,2.0476190476190474,2.365909091,4.957182613,0.147708653,0,1,3.6666666666666665,2.363636363636364,0.113455738,0.582232376,0,0.101550466
Like no other store in the world,Bloomingdale's,9,204,195,0.044117647,135,23,149,69,204,172,0.6617647058823529,0.1337209302325581,0.8662790697674418,0.3382352941176471,284,92,0.7553191489361702,0.5280437756497948,1.514337617672025,7,6.324465305010783,-1,0.4357142857142833,103.04428571428576,-0.625714286,-1.514285714,-4.212857143,22.857142857142858,-1.071428571,-1.521428571,33.42857142857143,7,0,0,0,2.350690235936849,4.454545454545454,4.45375,2.380952380952381,6.082,5.1245,4.714285714285714,3.5,3.619047619047619,2.81,2.9047619047619047,4.143000000000001,4.588235294117647,4.5,1.07150285,0.819664557,2.909090909090909,2.227272727272727,2.25039185,5.630129825,0.087541104,0,0,2.903225806451613,2.647058823529412,0.124272706,0.540405196,1,0.104737817
Like no place else. Fun. Fresh. Flavorful.,Chili's,8,195,187,0.041025641,144,20,156,51,195,176,0.7384615384615385,0.1136363636363636,0.8863636363636364,0.2615384615384615,300,71,0.8086253369272237,0.6248251748251749,1.8310236020531208,6.857142857142858,5.258500835481458,-1,-6.292857143,90.95857142857145,-2.311428571,-6.485714286,-5.372857143,15.571428571428571,-1.478571429,-1.857142857,35.57142857142857,7,0,0,1,2.325972052718161,4.9,6.275333333333333,3.4761904761904763,7.573666666666667,6.080333333333333,4.863636363636363,4.045454545454546,3.136363636363636,2.27,4.5,4.169666666666667,4.789473684210527,5.647058823529412,1.0668312,0.807071715,4.227272727272728,2.5454545454545454,2.893686869,10.61182341,0.124186541,0,0,3.842105263157895,3.7142857142857135,0.127397135,0.539987442,1,0.114839496
Liquid gold diggers love liquid gold,Velveeta,29,199,170,0.1457286432160804,184,11,154,15,199,165,0.9246231155778896,0.066666667,0.9333333333333332,0.075376884,338,26,0.9285714285714286,0.8579564489112228,2.903286938680127,6.5,4.378821893905393,-0.666666667,-5.905,73.84500000000001,-4.45,-9.233333333,-6.206,11.833333333333334,-1.391666667,-1.683333333,14.166666666666666,6,0,0,1,2.359266624547224,3.55,5.8886,2.238095238095238,6.8538,5.5218,4.909090909090909,2.761904761904762,3.857142857142857,4.226,3.3,5.9994,3.363636363636364,4.470588235294118,0.999891894,0.741038003,4.333333333333333,3.0476190476190474,2.281428572,6.076995533,0.176639812,1,1,5.533333333333333,5.5,0.141137835,0.63445482,0,0.122262923
Listen to the future,Kenwood,1,170,169,0.005882353,91,23,175,79,170,198,0.5352941176470588,0.1161616161616161,0.8838383838383839,0.4647058823529412,266,102,0.7228260869565217,0.4191325014854427,1.272652253612686,6.75,6.393378637501914,-1,-0.5875,75.87500000000001,-3.67,-1.45,-5.1225,19.25,-1.2625,-2.025,29.5,4,0,0,0,2.287318979197565,3.764705882352941,6.594,2.4444444444444446,6.606,5.364,4.588235294117647,4,2.7777777777777777,2.0775,3.5,3.667,5,4.714285714285714,1.026208205,0.76261978,3.7222222222222223,1.8888888888888888,2.400766284,5.885202717,0.139034041,0,1,3.772727272727273,3.652173913043478,0.124219816,0.559668167,0,0.144154903
Listen to your lips,Baileys,4,183,179,0.021857923,150,16,182,33,183,198,0.819672131,0.080808081,0.9191919191919192,0.180327869,332,49,0.8713910761154856,0.7388640503394602,2.2932534451735744,7,6.098202572861494,-1,0.5899999999999999,97.025,-0.72,-3.55E-15,-4.483333333,20.5,-1.1,-1.15,44.5,4,0,1,0,2.2728592244246406,4.631578947368421,6.844,1.9444444444444444,6.367,5.344,4.647058823529412,3.555555555555556,3.210526315789474,2.4633333333333334,3.842105263157895,6.586,3.4615384615384617,4.65,1.021296735,0.754352713,4.105263157894737,2.473684210526316,2.379310345,7.00510822,0.150165565,0,1,4.3,4.294117647058823,0.129541883,0.579934715,0,0.112076431
Little place. Big taste.,Checkers & Rally's,8,186,178,0.043010753,129,20,178,57,186,198,0.6935483870967742,0.101010101,0.898989899,0.3064516129032258,307,77,0.7994791666666666,0.5925382860866732,1.767544282762314,7.25,5.620680233669949,-1,-5.2975,97.025,-0.72,-4.35,-4.0125,15,-1.2625,-1.2125,23,4,0,0,0,2.352750100823346,5.130434782608695,4.7940000000000005,2.652173913043478,5.7745,5.19,5,4.521739130434782,3.782608695652174,3.72,4.260869565217392,3.665,5.181818181818182,4.3,1.03675561,0.800054352,4.173913043478261,2.739130434782609,2.297939069,7.237433601,0.124186541,0,1,3.333333333333333,3.92,0.115663878,0.539162546,0,0.136768279
Live fearless,BlueCross BlueShield,4,181,177,0.022099448,125,53,149,56,181,202,0.6906077348066298,0.2623762376237624,0.7376237623762376,0.3093922651933701,274,109,0.7154046997389034,0.4282314971828674,1.127053678852687,6,4.506627524399191,-1,-7.83,77.90500000000002,-2.89,-4.2,-7.735,17,-1.35,-1.55,19.5,2,0,0,0,2.333645258513573,5.172413793103448,6.344,6.5,7.618,6.636,6.645161290322581,4.133333333333334,2.967741935483871,2.735,3.838709677419355,4.546,4.78125,4.84375,1.00783547,0.770703607,2.5161290322580645,1.5161290322580645,,10.0638126,0.099807483,0,0,3.71875,2.75,0.102796062,0.508895445,0,0.121982078
Live head first,Head & Shoulders,5,186,181,0.02688172,100,22,167,86,186,189,0.5376344086021505,0.1164021164021164,0.8835978835978836,0.4623655913978494,267,108,0.712,0.4212322922000341,1.2768859604081284,7,5.676704873230598,-1,-0.48,119.19000000000004,2.619999999999999,0.5333333333333332,-4.636666667,19,-1.233333333,-1.066666667,41.333333333333336,3,0,0,0,2.443747879110605,4.411764705882353,5.400666666666667,2.555555555555556,6.806,6.410333333333334,5.833333333333333,2.736842105263158,2.473684210526316,3.693333333333333,3,4.961,5,5.153846153846154,1.072046425,0.803315495,3.3684210526315788,2,2.35,8.365392233,0.146944138,0,1,4.588235294117647,4.454545454545454,0.129449548,0.596825287,0,0.133228512
Live in your world. Play in ours.,Playstation,32,180,148,0.1777777777777777,151,53,146,29,180,199,0.8388888888888889,0.2663316582914573,0.7336683417085427,0.1611111111111111,297,82,0.783641161,0.5725572305974316,1.6026616002933745,6.857142857142858,6.011228144700901,-0.857142857,1.5128571428571431,106.59678571428572,0.7392857142857139,3.542857142857141,-4.514285714,21,-1.107142857,-1.421428571,25.428571428571427,7,1,1,0,2.307350463073836,5.85,6.359666666666667,2.65,7.279333333333334,6.008666666666667,4.578947368421052,4.8,2.9,3.05,4.15,5.163,6.238095238095238,6.277777777777778,1.063455893,0.793685929,3.95,2.25,2.675675676,8.570812127,0.134029708,1,1,4.291666666666667,4.071428571428571,0.118955489,0.545323247,0,0.100981739
Live life colourfully,Kate Spade,3,209,206,0.014354067,168,22,152,41,209,174,0.8038277511961722,0.1264367816091954,0.8735632183908046,0.1961722488038277,320,63,0.835509138,0.6773909695869769,1.9833265078187243,6,4.343424859371878,-1,-9.9,62.79000000000002,-5.246666667,-11.06666667,-5.995,17.333333333333332,-1.916666667,-0.95,38,3,0,0,0,2.434845280760963,4.782608695652174,6.5395,3.409090909090909,7.4605,6.4355,5.391304347826087,4.434782608695652,2.608695652173913,3.13,4.739130434782608,3.8035,4.85,5.5,1.040442507,0.787082852,3.5217391304347827,2.130434782608696,2.419354839,7.688523691,0.095197649,0,0,3.05,3.380952380952381,0.102456415,0.49400285,0,0.137404067
Live life comfortably,La-Z-Boy,16,200,184,0.08,155,87,84,45,200,171,0.775,0.5087719298245614,0.4912280701754385,0.225,239,132,0.6442048517520216,0.2662280701754386,0.7289991203078712,6,4.871911769208045,-1,-9.9,34.59000000000003,-9.18,-11.06666667,-5.995,17.333333333333332,-1.633333333,-2.733333333,25.33333333333333,3,0,0,0,2.400980133162845,3.736842105263158,6.5395,3.75,7.4605,6.4355,5.578947368421052,4.15,2.7,2.786666666666666,4.45,3.8035,5.647058823529412,5.954545454545454,1.030085385,0.775550871,2.9,1.55,2.419354839,4.533950268,0.090095849,0,0,2.611111111111111,2.5789473684210527,0.106335967,0.485522351,0,0.133957162
Live louder,JBL,1,198,197,0.005050505,138,33,150,60,198,183,0.696969697,0.180327869,0.819672131,0.303030303,288,93,0.7559055118110236,0.516641828,1.420395674,7,4.770606659803997,-1,-3.12,77.90500000000002,-2.89,1.5999999999999996,-6.1,19,-1.25,-1.3,25.5,2,0,0,0,2.427653597197081,5.473684210526316,6.344,2.555555555555556,7.618,6.636,6.238095238095238,4.333333333333333,2.4761904761904763,3.57,3.952380952380953,4.546,5.722222222222222,5.7368421052631575,1.030650535,0.781739352,4.047619047619048,1.9523809523809523,,7.786112183,0.091819005,0,0,3.466666666666667,2.8260869565217392,0.106973491,0.494351967,0,0.152461453
Live mas,Taco Bell,108,203,95,0.5320197044334976,185,13,169,18,203,182,0.9113300492610836,0.071428571,0.9285714285714286,0.088669951,354,31,0.9194805194805196,0.8399014778325123,2.7848129182885177,7.5,4.444630729167197,-1,3.945,120.205,3.01,10.3,-6.1,35,-0.95,-0.975,38,2,0,0,0,1.014317511410121,5.235294117647059,6.344,3.117647058823529,7.618,6.636,6.1875,4.705882352941177,2.3529411764705883,3.57,4,4.546,5.466666666666667,5.857142857142857,1.001473231,0.756800828,3.823529411764706,2.294117647058824,,9.526119572,0.091819005,0,0,4.647058823529412,3.4,0.118164339,0.512597885,0,0.106481149
Live well,GNC,16,181,165,0.08839779,141,71,109,40,181,180,0.7790055248618785,0.3944444444444444,0.6055555555555555,0.2209944751381215,250,111,0.6925207756232687,0.38456108,1.0299239321174989,7,6.005950902134993,-1,1.59,120.205,3.01,7.399999999999997,-6.13,29.5,-0.95,-0.95,56,2,0,0,0,2.4297101632990383,4.25,5.46,3.526315789473684,7.1915,6.0605,4.789473684210527,4.1,3.25,3.45,3.7,4.4055,4.8,5.764705882352941,1.016739045,0.778732548,2.95,1.5,,4.496272951,0.090095849,0,0,2.764705882352941,2.5217391304347827,0.0954585,0.487941639,0,0.142718934
Live your life,American Eagle Outfitters,0,198,198,0,152,97,96,46,198,193,0.7676767676767676,0.5025906735751295,0.4974093264248704,0.2323232323232323,248,143,0.6342710997442456,0.2650860941016381,0.7203588321137812,7,6.082021809,-1,1.09,119.19000000000004,2.619999999999999,2.4666666666666632,-5.363333333,22.33333333333333,-1,-0.933333333,42.66666666666666,3,0,1,0,2.3965724662693138,4.172413793103448,6.5395,7.1875,7.4605,6.4355,6.774193548387097,3.8,3.935483870967742,2.8766666666666665,3.806451612903226,3.8035,4,4.65625,0.997240336,0.747878727,2.225806451612903,1.4193548387096775,2.419354839,4.987386711,0.095197649,0,0,3.09375,2.5625,0.103664163,0.475104331,0,0.097101559
Locally strong,True Value,2,186,184,0.010752688,124,16,171,62,186,187,0.6666666666666666,0.085561497,0.9144385026737968,0.3333333333333333,295,78,0.7908847184986595,0.5811051693404634,1.782918516876007,6,4.000511022981338,-1,-10.185,35.60500000000002,-8.79,-7.1,-4.58,5.5,-1.625,-2.45,5.5,2,0,0,0,2.431299791945971,4.315789473684211,6.706,3.25,7.571,7.618,6.2,3.8,3.15,2.795,3.5,5.086,4.666666666666667,5.727272727272728,1.016090983,0.771074929,2.9,1.35,,4.840849799,0.14268764,0,0,3.583333333333333,4.157894736842105,0.120732132,0.582010255,0,0.103424596
"Love all, serve all",Hard Rock Cafe,4,185,181,0.021621622,110,33,160,75,185,193,0.5945945945945946,0.1709844559585492,0.8290155440414507,0.4054054054054054,270,108,0.7142857142857143,0.4236101386360454,1.1816944649676953,7,6.0124608803553095,-0.75,0.5899999999999999,118.175,2.229999999999998,1.4499999999999993,-5.205,23.5,-1.025,-1.1,32.25,4,0,0,0,2.353452231684848,5.095238095238095,4.992,3.863636363636364,6.1035,4.9425,5,4.863636363636363,2.590909090909091,2.5975,4,3.661,4.764705882352941,5.454545454545454,0.988053795,0.734596836,4.090909090909091,1.6363636363636365,2.280147059,6.427942038,0.124986195,0,0,4,3.772727272727273,0.121512796,0.549025721,0,0.115022263
Love it for life,Dannon,0,196,196,0,116,57,134,80,196,191,0.5918367346938775,0.2984293193717277,0.7015706806282722,0.4081632653061224,250,137,0.6459948320413437,0.2934074153221498,0.7569710520242665,7,6.515272002147265,-1,4.122500000000002,118.175,2.229999999999998,4.349999999999998,-4.9625,28,-0.95,-1.025,37,4,0,0,0,2.395105915736038,4.777777777777778,7.441000000000001,3.473684210526316,7.975,5.769,4.722222222222222,4.789473684210527,2.3684210526315788,2.3,3,3.766,4.444444444444445,4.142857142857143,1.013118271,0.766254673,3.1052631578947367,1.2105263157894737,2.37217742,5.442145379,0.107585847,0,0,3,2.933333333333333,0.107181909,0.518634601,0,0.124765154
Love that chicken,Popeyes Chicken & Biscuits,95,188,93,0.5053191489361702,159,25,183,29,188,208,0.8457446808510638,0.1201923076923077,0.8798076923076923,0.1542553191489361,342,54,0.8636363636363636,0.7255523731587561,2.1756802666526784,7,5.995219452465311,-1,-3.62,90.99000000000004,-1.313333333,-3.333333333,-4.653333333,16,-1.2,-1.566666667,19.33333333333333,3,0,0,0,2.4328327594599823,4.611111111111111,8.147,3.1666666666666665,8.647,5.303,5.235294117647059,4,5.277777777777778,2.803333333333333,5.5,4.471,5.388888888888889,5.631578947368421,1.085495747,0.825879817,3.5294117647058822,2.7222222222222223,2.565277778,6.761442639,0.121498437,0,0,2.9565217391304346,3.272727272727273,0.115892089,0.541106364,0,0.109717663
Love the life you see,Andersen Windows,2,172,170,0.011627907,109,56,150,63,172,206,0.6337209302325582,0.2718446601941747,0.7281553398058253,0.3662790697674418,259,119,0.6851851851851852,0.3618762700383834,0.9435960208103452,7.2,6.688820700531664,-1,2.9160000000000004,117.16000000000004,1.84,1.9999999999999984,-4.49,27.4,-0.95,-1.12,55.8,5,0,1,0,2.442954555645039,5.105263157894737,7.441000000000001,3.1666666666666665,7.975,5.769,5.421052631578948,4.315789473684211,3.333333333333333,2.7020000000000004,4.222222222222222,3.766,5.454545454545454,5.615384615384615,0.994283606,0.747756637,3.947368421052632,1.736842105263158,2.287800819333333,6.706302337,0.115413993,0,0,4.625,3.7142857142857135,0.102067361,0.504308235,0,0.154367802
Love the road,Hertz,0,199,199,0,131,24,158,68,199,182,0.6582914572864321,0.1318681318681318,0.8681318681318682,0.3417085427135678,289,92,0.7585301837270341,0.5264233254183003,1.5138865051756347,7,6.187875733,-1,2.66,119.19000000000004,2.619999999999999,4.4,-4.566666667,22.666666666666668,-0.95,-1.433333333,32.333333333333336,3,0,0,0,2.398422569425985,3.863636363636364,6.0735,3.5217391304347827,6.957000000000001,5.308,5.904761904761905,4.086956521739131,4.086956521739131,2.75,4.608695652173913,5.4855,4.857142857142857,5.166666666666667,0.997024317,0.753738843,3.0434782608695654,1.681818181818182,2.325,5.594015546,0.125277423,0,1,3.9375,4,0.113373398,0.536380509,0,0.155723134
Love them like family. Feed them like family.,Blue Buffalo,14,190,176,0.073684211,163,25,170,27,190,195,0.8578947368421053,0.1282051282051282,0.8717948717948718,0.1421052631578947,333,52,0.8649350649350649,0.7296896086369771,2.188520520514671,7,5.934106178,-0.625,-2.9425,75.87500000000001,-3.67,-2.9,-4.16,17.625,-1.15,-1.41875,27.75,8,0,0,0,2.435685115451804,4.052631578947368,5.765000000000001,3.3,7.627800000000001,5.216600000000001,5.761904761904762,5.190476190476191,4.761904761904762,3.0700000000000003,5.190476190476191,4.3758,6,5.615384615384615,1.025005131,0.759402759,4.333333333333333,1.761904761904762,2.4187807125000003,6.06951927,0.163167849,0,0,4.071428571428571,3.7916666666666665,0.132504836,0.584005891,0,0.123495658
Low fares. Nothing to hide. That's transfarency!,Southwest,41,196,155,0.2091836734693877,159,11,175,37,196,186,0.8112244897959183,0.059139785,0.9408602150537636,0.1887755102040816,334,48,0.8743455497382199,0.7520847048496817,2.418912566621193,6.571428571428571,4.885616402731477,-1,-10.33,78.87285714285717,-3.997142857,-11.45714286,-4.5825,18.571428571428573,-1.55,-1.15,59.6,7,0,0,0,2.188168152926697,4,3.708,3,3.7995,3.653,5.227272727272728,3.954545454545455,4.136363636363637,2.5775,3.363636363636364,4.292,5.333333333333333,5.409090909090909,1.022372622,0.753402798,4.318181818181818,2.590909090909091,1.890819965,10.21322442,0.188204662,1,0,3.4375,3.7058823529411766,0.153056253,0.629557342,0,0.153949431
Luxury evolved,Genesis,4,197,193,0.020304569,159,21,168,38,197,189,0.8071065989847716,0.1111111111111111,0.8888888888888888,0.1928934010152284,327,59,0.8471502590673575,0.6959954878736605,2.0715379708731447,5.5,3.6408670076659977,-1,-10.185,-6.695,-14.69,-7.1,-9.26,2,-2.2,-4.1,0.5,2,0,0,0,2.427978434370927,3.65,6.333,2.6666666666666665,7.839,5.871,5.9523809523809526,3.9047619047619047,3.380952380952381,2.59,3.761904761904762,5.063,4.166666666666667,5.1875,1.060695228,0.805345832,3.619047619047619,1.761904761904762,,8.599111398,0.111903632,0,0,5.466666666666667,3.842105263157895,0.117534771,0.558060981,0,0.135451255
M'm! m'm! Good!,Campbell's,91,198,107,0.4595959595959596,183,5,177,15,198,182,0.9242424242424242,0.027472527,0.9725274725274724,0.075757576,360,20,0.9473684210526316,0.8967698967698967,3.299403251660744,7,5.133631021327903,-0.4,-0.48,175.59000000000003,10.486666666666666,10.2,-3.55,9,-1.383333333,-1.45,21,3,0,0,0,2.2471484427536303,6.470588235294118,5.853,3.823529411764706,8.152,6.281,4.533333333333333,5.473684210526316,3,1.64,4.7368421052631575,3.688,5.809523809523809,5.4,1.0183488,0.762381885,4.789473684210527,2.8421052631578947,2.236842105,5.54232572,0.170609149,0,0,2.28,2.5625,0.13061553,0.601076047,0,0.136789426
